VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJ3E1EB6K,King,Seattle,WA,98178,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,37,101250425,POINT (-122.23825 47.49461),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011902
5YJYGAEE5M,Yakima,Selah,WA,98942,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,224162858,POINT (-120.53145 46.65405),PACIFICORP,53077003100
5YJSA1E65N,Yakima,Granger,WA,98932,2022,TESLA,MODEL S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,187279214,POINT (-120.1871 46.33949),PACIFICORP,53077002104
5YJ3E1EBXN,King,Bellevue,WA,98004,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,41,219428079,POINT (-122.1872 47.61001),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023902
JM3KKEHA8S,Thurston,Yelm,WA,98597,2025,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,2,277791643,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012412
5YJSA1E45H,Thurston,Olympia,WA,98512,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,35,152371775,POINT (-122.9131 47.01359),PUGET SOUND ENERGY INC,53067011821
5YJ3E1EB6J,King,Burien,WA,98166,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,34,278247826,POINT (-122.34134 47.46593),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033027500
1N4BZ1CP3K,Snohomish,Snohomish,WA,98290,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,39,113148129,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052203
KM8K23AGXL,King,Seattle,WA,98125,2020,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258,0,46,145686754,POINT (-122.30253 47.72656),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000101
1N4AZ0CP2F,King,Bellevue,WA,98006,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,41,268997830,POINT (-122.12096 47.55584),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024800
1N4AZ0CP6F,King,Kirkland,WA,98033,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,48,128319159,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022501
5YJYGDEE2M,King,Bothell,WA,98011,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,144130570,POINT (-122.20563 47.76144),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021804
7JRBR0FL8K,King,Seattle,WA,98125,2019,VOLVO,S60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,46,208712598,POINT (-122.30253 47.72656),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001202
1G1RD6E45E,Yakima,Yakima,WA,98908,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,14,142474272,POINT (-120.60199 46.59817),PACIFICORP,53077000903
JTDKAMFP1M,Kitsap,Bremerton,WA,98337,2021,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,26,156465963,POINT (-122.62749 47.565),PUGET SOUND ENERGY INC,53035080600
7SAYGDEE7N,Yakima,Yakima,WA,98908,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,216648813,POINT (-120.60199 46.59817),PACIFICORP,53077002801
1N4AZ1CP7K,King,Renton,WA,98055,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,11,226088971,POINT (-122.197 47.43876),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025805
7SAXCBE61P,Kitsap,Silverdale,WA,98383,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,262321321,POINT (-122.69275 47.65171),PUGET SOUND ENERGY INC,53035091205
5YJ3E1EB7J,King,Kent,WA,98030,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,47,207456623,POINT (-122.19975 47.37483),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029505
1N4AZ0CP3D,King,Redmond,WA,98052,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,45,176767076,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032323
JTJHKCFZ8P,King,Redmond,WA,98052,2023,LEXUS,NX,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,0,45,236403296,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032321
1FT6W5L73R,Kitsap,Poulsbo,WA,98370,2024,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,271508961,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035091100
5YJ3E1EB6L,Snohomish,Lynnwood,WA,98087,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,21,3354571,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,53061041812
5YJ3E1EA3K,Thurston,Olympia,WA,98512,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,35,476802679,POINT (-122.9131 47.01359),PUGET SOUND ENERGY INC,53067011810
5YJ3E1EA1K,King,Kirkland,WA,98034,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,1,100899858,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022203
5YJ3E1EB5K,Kitsap,Poulsbo,WA,98370,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,23,144826083,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035091100
YV4ED3GB2N,Thurston,Olympia,WA,98512,2022,VOLVO,C40,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,196428809,POINT (-122.9131 47.01359),PUGET SOUND ENERGY INC,53067011000
JN1BF0BA7P,Thurston,Olympia,WA,98501,2023,NISSAN,ARIYA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,238436845,POINT (-122.89165 47.03954),PUGET SOUND ENERGY INC,53067010700
YV4BR0CK4M,King,Seattle,WA,98101,2021,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,36,170316877,POINT (-122.34223 47.61085),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007202
5UXTA6C07M,Snohomish,Mill Creek,WA,98012,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,44,151016288,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052008
JN1AZ0CP0B,Kitsap,Bainbridge Island,WA,98110,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,23,126817778,POINT (-122.521 47.62728),PUGET SOUND ENERGY INC,53035090700
5YJ3E1EA7M,Thurston,Yelm,WA,98597,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,271060730,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012412
1N4AZ1CP5J,King,Kirkland,WA,98033,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,48,248988274,POINT (-122.2066 47.67887),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022501
1G1RB6S57H,King,Burien,WA,98146,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,34,103340226,POINT (-122.36178 47.49408),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033026700
5YJSA1E2XH,King,Seattle,WA,98107,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,43,329236610,POINT (-122.38591 47.67597),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004800
5YJ3E1EA3J,Kitsap,Bainbridge Island,WA,98110,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,23,295732972,POINT (-122.521 47.62728),PUGET SOUND ENERGY INC,53035090800
5YJXCAE29L,Kitsap,Silverdale,WA,98383,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,0,23,1843054,POINT (-122.69275 47.65171),PUGET SOUND ENERGY INC,53035091206
5YJSA1CN2C,Thurston,Yelm,WA,98597,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,265,59900,2,183278280,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012412
